soldToParty,businessPartner,Country,Industry,Material,MaterialGroup,MaterialType,productHierarchy,distChannel,division,salesOrg,version,valueType,changeId,RecordType,RequestId,CalendarDay,CalendarMonth,CalendarWeek,FiscalPeriod,FiscalVariant,baseUom,statsCurrency,creditMemosCost,creditMemosQuantity,netValueOfCreditMemos,costIncomingOrders,incomingOrders,netValueIncomingOrders,costInvoicedSales,salesQuantity,netValueSalesVol,openOrdersQuantity,netValueOpenOrders,salesOrderItem,incomingReturnsCost,returnsQuantity,netValueIncomingReturns,noReturnsItems,totalSubtotal
S75,,,,M94,,,,D9,D2,S55,V15,65,,,APO_RDFH54LVJWFRAF0O0W9W5DIW84,,201012,201051,2010012,K4,ST,EUR,"     1,00",600,"   620,00","    530,00",110,"    190,00","   220,00",690,"    30,00",610,"   210,00","6,40,000","  970,00",970,"   860,00","7,60,000","     0,00"
S75,,,,M94,,,,D9,D2,S55,V15,65,,,APO_RDFH565QH59UGPSXR4OAK4E84K,,201012,201051,2010012,K4,ST,EUR,"     1,00",600,"   620,00","    530,00",110,"    190,00","   220,00",690,"    30,00",610,"   210,00","6,40,000","  970,00",970,"   860,00","7,60,000","     0,00"
S75,,,,M94,,,,D9,D2,S55,V15,65,,,APO_RDFH52LNSWISV51CBL9Z0ISJOK,23.12.2010,201012,201051,2010012,K4,ST,EUR,"     1,00",600,"   620,00","    530,00",110,"    190,00","   220,00",690,"    30,00",610,"   210,00","6,40,000","  970,00",970,"   860,00","7,60,000","   620,00"
S60,,,,M78,,,,D5,D9,S91,V94,97,,,APO_RDFHCYV0DETA5YKDJ00DFOG8TG,03.12.2010,201012,201048,2010012,K4,ST,EUR,"     1,00",550,"   250,00","    530,00",950,"    810,00","   900,00",380,"   660,00",970,"   960,00","9,70,000","  890,00",480,"   240,00","20,000","   910,00"
S45,,,,M52,,,,D7,D5,S95,V92,56,,,APO_RDFH54LVJWFRAF0O0W9W5DIW84,,201012,201052,2010012,K4,ST,EUR,"     1,00",70,"   560,00","    970,00",890,"    560,00","   610,00",700,"   420,00",220,"   740,00","80,000","  320,00",480,"   860,00","5,30,000","     0,00"
S45,,,,M52,,,,D7,D5,S95,V92,56,,,APO_RDFH565QH59UGPSXR4OAK4E84K,,201012,201052,2010012,K4,ST,EUR,"     1,00",70,"   560,00","    970,00",890,"    560,00","   610,00",700,"   420,00",220,"   740,00","80,000","  320,00",480,"   860,00","5,30,000","     0,00"
S45,,,,M52,,,,D7,D5,S95,V92,56,,,APO_RDFH52LNSWISV51CBL9Z0ISJOK,27.12.2010,201012,201052,2010012,K4,ST,EUR,"     1,00",70,"   560,00","    970,00",890,"    560,00","   610,00",700,"   420,00",220,"   740,00","80,000","  320,00",480,"   860,00","5,30,000","   970,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,1,20,,,REQU_DE3MF1SP23UFHFT9B9SE921ES,11.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00"," 11.869,00",25," 63.630,00","     0,00",0,"     0,00",5,"12.726,00","3,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,0,20,,,REQU_DE3MG5P3D07LIP392KAELZICK,11.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00"," 11.869,00",25," 63.630,00","     0,00",0,"     0,00",5,"12.726,00","3,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3NT2N8ZUJ7KLXWG4RYA1LW,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3NT2N8ZUJ7KLXWG4RYA1LW,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3NT2N8ZUJ7KLXWG4RYA1LW,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3SIQYBLIFMTXMUWXAW6AW4,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3SIQYBLIFMTXMUWXAW6AW4,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3SIQYBLIFMTXMUWXAW6AW4,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3UOR9RFM04Y2CX3A5J4ZOK,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3UOR9RFM04Y2CX3A5J4ZOK,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3UOR9RFM04Y2CX3A5J4ZOK,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3VD9YO1H5I4CN4WS3W0ECK,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3VD9YO1H5I4CN4WS3W0ECK,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3VD9YO1H5I4CN4WS3W0ECK,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3WTPDZ9PBOFSV3V9B7ZKBO,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3WTPDZ9PBOFSV3V9B7ZKBO,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DEK3WTPDZ9PBOFSV3V9B7ZKBO,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JFHQCAINN468YK65GZQG4,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JFHQCAINN468YK65GZQG4,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JFHQCAINN468YK65GZQG4,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JMTX2H5F7DGVD3WMU1X9G,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JMTX2H5F7DGVD3WMU1X9G,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5JMTX2H5F7DGVD3WMU1X9G,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P13DOM3MNBZH6ST0SVTT0,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P13DOM3MNBZH6ST0SVTT0,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P13DOM3MNBZH6ST0SVTT0,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P8SNS72C0OVRJJU6G976S,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P8SNS72C0OVRJJU6G976S,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5P8SNS72C0OVRJJU6G976S,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CXXCI7EEZW5CPMY9YBO2S,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","-1,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CXXCI7EEZW5CPMY9YBO2S,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","12.725,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CXXCI7EEZW5CPMY9YBO2S,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","-1,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5K2Q7S4U53ZAVYBQANB06C,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5K2Q7S4U53ZAVYBQANB06C,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5K2Q7S4U53ZAVYBQANB06C,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5OG2QYZQN5OEEYBGS84Q04,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5OG2QYZQN5OEEYBGS84Q04,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5OG2QYZQN5OEEYBGS84Q04,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G6NAAFMK4SII0HGZ1YT2C,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G6NAAFMK4SII0HGZ1YT2C,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G6NAAFMK4SII0HGZ1YT2C,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6PMA4Y3UYO7ZOG5UVSLR50,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6PMA4Y3UYO7ZOG5UVSLR50,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6PMA4Y3UYO7ZOG5UVSLR50,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CHI5RMA3BBJEH9Z378VJ8,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","-1,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CHI5RMA3BBJEH9Z378VJ8,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","12.725,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFH3CHI5RMA3BBJEH9Z378VJ8,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","-1,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFHDDN209JVY3KUCA1F0PA2LG,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFHDDN209JVY3KUCA1F0PA2LG,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFHDDN209JVY3KUCA1F0PA2LG,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5PMQBT34691MXV5XCDDWV8,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5PMQBT34691MXV5XCDDWV8,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK5PMQBT34691MXV5XCDDWV8,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G0PLR40QKXAHO6K9RLW2S,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G0PLR40QKXAHO6K9RLW2S,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6G0PLR40QKXAHO6K9RLW2S,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6QMX2H2H4TSBGK6DO2PH2C,11.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6QMX2H2H4TSBGK6DO2PH2C,25.07.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  2.373,80",5," 12.726,00","     0,00",0,"     0,00",5,"12.726,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
1000,145,DE,MBAU,T-F699,1,FERT,1.00E+15,10,0,1000,&(,20,,,REQU_DFK6QMX2H2H4TSBGK6DO2PH2C,21.10.2011,0,0,0,K4,ST,EUR,"     0,00",0,"     0,00","  4.747,60",10," 25.452,00","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
R3002,,US,,R100017001,R1134,HAWA,,R6,R1,R300,1,20,,,REQU_DE3MF1SP23UFHFT9B9SE921ES,11.10.2011,0,0,0,K4,ST,USD,"     0,00",0,"     0,00","    186,00",1,"    232,50","     0,00",0,"     0,00",0,"     0,00","1,000","    0,00",0,"     0,00","    0,000","     0,00"
